participant,sex,age,relat,income,DS_Inst,DS1,DS2,DS3,DS4,DS5,DS6,DS7,Target,Value,Alex_inst,Alex_height,Alex_weight,Alex_age,Alex_wealth,Alex_intelligent,Alex_attractive,Alex_kind,Alex_honest,Alex_care,comfort_inst,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,WTR_INST,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,English_Exclude
466,1,67,1,13,1,4,4,4,3,5,4,5,23,0,1,7,4,12,4,5,5,2,2,1,1,3,1,3,1,1,2,3,1,2,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
636,1,67,1,4,1,7,3,4,5,4,4,4,10,1,1,11,8,8,7,5,6,8,8,8,1,1,2,2,1,1,1,2,2,1,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
301,1,66,1,9,1,6,6,5,7,7,6,7,19,1,1,10,10,9,8,10,10,10,11,11,1,5,5,5,3,5,5,5,3,3,6,1,1.55,1.35,0,0.95,0,0,0.35,0.15,-0.05,-0.25,1.55,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0.95,0,0,0.35,0.15,-0.05,-0.25,0
438,2,66,2,3,1,6,6,4,3,6,2,5,25,1,1,5,5,11,6,8,8,8,8,10,1,3,4,4,1,1,2,4,1,6,3,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
549,2,66,1,10,1,3,5,2,1,4,6,3,16,1,1,13,9,8,7,10,10,10,11,11,1,6,4,7,4,4,6,7,7,6,5,1,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0.75,0,0.35,0.15,-0.05,-0.25,0
790,2,66,2,14,1,4,5,4,2,5,4,6,19,1,1,13,9,17,7,8,8,9,9,8,1,2,4,3,2,2,2,3,2,4,5,1,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
829,1,66,2,7,1,5,1,3,1,3,2,2,18,0,1,13,12,11,8,7,8,2,2,1,1,1,2,2,1,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
171,1,65,1,18,1,3,6,4,3,5,3,5,30,1,1,7,7,12,5,6,7,10,10,10,1,7,2,2,1,4,4,7,5,6,3,1,0,0,1.15,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
295,2,65,1,7,1,5,4,4,3,4,4,4,1,1,1,9,10,20,7,5,5,10,10,10,1,3,2,3,3,3,3,2,2,3,3,1,0,0,1.15,0,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0.95,0,0.55,0,0.15,-0.05,-0.25,0,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
508,2,65,1,10,1,6,5,5,6,5,7,6,26,0,1,5,2,3,5,6,8,1,4,7,1,2,3,2,3,3,3,3,3,4,2,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
511,2,65,2,7,1,5,5,4,4,4,3,3,15,1,1,9,8,10,5,9,8,11,11,9,1,3,3,7,2,2,1,6,4,5,6,1,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0
518,2,65,1,11,1,6,5,3,3,4,2,3,18,1,1,11,9,11,7,8,9,9,9,10,1,2,2,5,1,2,1,5,5,3,2,1,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0,0.75,0,0.35,0.15,-0.05,-0.25,0
5,2,64,2,9,1,6,7,6,6,7,6,7,9,0,1,12,9,12,9,8,4,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,0
677,1,64,1,9,1,5,6,6,6,7,4,3,25,1,1,7,7,17,8,10,9,9,11,11,1,5,4,1,1,4,3,6,2,3,1,1,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0,0.35,0.15,-0.05,-0.25,0
707,1,64,2,27,1,5,2,1,2,4,2,2,12,0,1,12,10,7,7,4,8,3,2,3,1,4,2,3,1,1,3,4,2,4,2,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
244,2,63,2,7,1,6,6,5,4,5,5,7,16,1,1,12,8,8,6,7,10,10,11,9,1,2,1,4,1,1,1,5,2,3,2,1,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
560,1,63,1,3,1,4,3,2,3,4,5,3,36,0,1,5,8,11,8,5,4,2,1,6,1,2,2,2,1,2,4,3,2,2,3,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
614,1,63,1,12,1,4,5,4,2,5,3,2,37,0,1,6,5,11,7,7,9,3,4,5,1,7,1,5,1,5,4,7,7,2,3,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
759,2,63,1,4,1,7,4,6,7,7,5,7,12,1,1,13,8,7,9,11,9,11,11,11,1,1,7,4,1,1,1,5,1,1,4,1,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
8,2,62,1,1,1,4,5,4,2,5,5,5,19,1,1,13,8,14,7,9,9,10,10,10,1,3,2,3,2,4,4,5,4,3,3,1,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,1.35,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
16,2,62,2,9,1,2,2,4,1,2,2,6,33,1,1,6,5,8,6,7,6,10,11,9,1,1,1,2,1,1,1,1,3,1,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
365,2,62,2,4,1,7,2,1,7,5,4,7,9,0,1,8,11,8,8,9,6,4,1,7,1,2,5,1,1,4,4,4,3,1,4,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0.75,0.55,0,0.15,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
387,1,62,1,5,1,6,6,5,3,4,4,6,35,1,1,6,5,12,6,7,8,8,9,9,1,3,3,3,2,3,2,3,3,3,3,1,0,0,0,0,0,0,0,0.15,-0.05,-0.25,1.55,0,0,0.95,0,0,0,0.15,-0.05,-0.25,0,1.35,0,0,0.75,0,0.35,0.15,-0.05,-0.25,0
486,2,62,2,3,1,6,6,5,4,5,6,7,37,1,1,5,4,13,8,9,6,9,9,8,1,1,1,1,2,1,1,4,1,1,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
773,1,62,2,10,1,6,5,5,4,5,2,5,39,1,1,7,5,4,8,9,8,9,9,11,1,1,2,3,3,3,1,3,3,2,3,1,1.55,1.35,0,0,0,0,0,0.15,-0.05,-0.25,0,1.35,1.15,0,0.75,0,0.35,0,-0.05,-0.25,1.55,0,0,0,0.75,0.55,0,0.15,-0.05,-0.25,0
784,2,62,1,4,1,5,2,1,2,2,1,1,17,0,1,12,9,17,7,7,6,4,3,6,1,3,4,3,1,1,2,4,1,4,2,1,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
857,1,62,2,4,1,4,3,3,4,4,2,6,16,0,1,12,7,7,8,4,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
57,1,61,2,10,1,6,3,3,2,6,3,6,7,0,1,8,6,6,5,5,6,5,2,4,1,2,1,1,1,2,5,4,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0.35,0,-0.05,-0.25,0
80,2,61,1,6,1,7,7,4,6,4,5,7,24,0,1,9,8,13,5,7,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
247,2,61,1,8,1,5,3,3,5,4,6,5,18,1,1,12,10,18,5,8,8,9,9,9,1,1,1,1,2,3,3,3,2,1,1,1,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
414,2,61,2,1,1,5,4,5,1,4,3,7,31,1,1,10,7,14,7,8,9,9,9,9,1,3,6,6,6,2,6,6,6,6,5,1,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
591,2,61,1,12,1,4,4,4,4,5,6,6,39,1,1,8,5,16,7,7,9,9,10,11,1,1,1,4,1,1,1,4,2,1,1,1,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
806,2,61,2,7,1,4,3,4,2,4,2,5,25,1,1,8,5,17,8,9,8,10,10,10,1,5,3,5,3,5,2,5,2,5,3,1,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
9,2,60,1,5,1,6,3,3,2,3,2,3,26,0,1,3,2,8,6,9,9,5,5,8,1,1,1,5,1,3,3,5,5,1,3,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
252,2,60,2,6,1,7,5,5,7,6,4,7,21,0,1,11,13,13,7,8,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
645,2,60,2,5,1,6,6,6,4,3,5,5,10,1,1,7,5,9,7,8,6,10,10,10,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
664,2,60,1,20,1,6,4,3,3,4,3,5,16,1,1,12,8,9,6,8,9,9,9,10,1,4,1,2,1,2,5,1,2,5,2,1,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0
758,1,60,1,20,1,6,5,4,3,5,4,6,25,1,1,7,6,15,8,7,6,9,10,9,1,5,2,4,2,3,3,5,5,3,4,1,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
794,2,60,1,5,1,4,4,4,5,4,5,3,16,1,1,11,8,10,6,9,8,11,9,9,1,3,2,4,1,2,3,5,5,4,2,1,1.55,0,0,0,0.75,0,0,0.15,-0.05,-0.25,1.55,0,0,0,0,0.55,0.35,0,-0.05,-0.25,0,0,0,0.95,0.75,0,0.35,0,-0.05,-0.45,0
31,2,59,1,7,1,4,2,2,2,3,3,3,3,1,1,7,6,8,7,8,7,9,9,9,1,1,5,5,1,4,2,4,4,1,3,1,0,1.35,0,0,0,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
32,1,59,1,28,1,5,5,5,4,5,4,6,40,1,1,7,3,7,7,9,9,11,11,11,1,5,4,6,3,3,2,6,3,4,6,1,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
101,2,59,2,10,1,6,6,6,5,7,6,7,25,0,1,6,8,15,5,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
267,2,59,1,30,1,7,6,4,6,7,7,5,29,0,1,7,5,18,6,5,4,1,1,1,1,3,3,2,1,4,1,2,3,2,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
278,2,59,1,6,1,4,6,6,5,7,7,6,1,1,1,10,10,21,6,8,6,10,10,11,1,1,1,3,1,1,1,2,1,1,1,1,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
386,1,59,1,14,1,5,6,4,5,5,4,6,5,1,1,11,10,14,7,9,7,10,9,10,1,1,1,1,1,2,2,3,1,1,5,1,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
492,1,59,2,5,1,7,4,1,7,6,7,4,26,0,1,5,3,3,5,6,6,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
537,1,59,2,3,1,6,2,2,2,3,3,3,10,1,1,11,10,11,7,9,7,10,11,9,1,2,2,1,1,2,1,3,3,3,1,1,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0.95,0,0,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0,0.35,0.15,-0.05,-0.25,0
593,2,59,2,1,1,7,7,7,5,7,4,7,28,1,1,6,4,10,10,11,9,11,11,11,1,1,2,2,3,1,3,3,1,1,1,1,1.55,0,1.15,0.95,0,0.55,0.35,0.15,-0.05,-0.25,1.55,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
596,2,59,1,11,1,6,4,4,4,5,5,5,22,1,1,9,8,11,3,6,3,8,8,6,1,3,2,2,3,3,3,4,3,2,4,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0.15,0,-0.45,0,0,0,0,0,0,0,0.15,0,-0.45,0
742,1,59,1,14,1,2,1,1,1,3,1,1,23,1,1,9,5,15,6,9,7,9,10,10,1,7,5,7,5,7,7,7,6,7,7,1,0,1.35,0,0,0,0,0.35,0.15,-0.05,-0.25,1.55,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0,0.15,-0.05,-0.25,0
103,2,58,2,20,1,5,4,4,5,5,4,4,12,0,1,13,13,15,4,3,6,1,1,1,1,1,3,3,1,3,3,1,1,3,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
179,2,58,2,3,1,6,4,5,3,6,3,6,5,0,1,12,10,18,8,9,6,3,4,2,1,3,5,5,2,3,2,4,2,2,3,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
201,2,58,1,8,1,6,7,7,5,6,4,6,26,0,1,5,2,10,7,8,4,1,2,6,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
237,1,58,2,30,1,5,6,4,6,3,3,5,18,0,1,11,7,12,3,4,8,4,2,6,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
547,2,58,1,18,1,7,5,4,4,6,4,5,7,0,1,8,6,10,7,6,4,1,1,6,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0
672,2,58,1,11,1,5,4,6,5,5,6,6,10,0,1,11,7,20,7,7,7,5,4,4,1,1,2,2,1,2,2,2,1,1,2,1,0,0,0,0,0,0,0,0.15,0,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
757,2,58,2,7,1,7,7,6,4,6,3,7,28,0,1,8,5,7,3,4,3,3,1,3,1,1,2,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
768,1,58,2,4,1,7,4,4,2,7,2,6,26,1,1,6,5,11,8,9,6,9,11,10,1,6,7,7,4,7,5,7,7,6,6,1,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
85,2,57,1,7,1,3,1,2,1,2,1,3,1,0,1,9,13,21,6,7,5,4,3,9,1,5,3,4,2,4,4,3,5,5,5,1,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,1.35,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0,0,0.15,-0.05,-0.25,0
112,2,57,1,30,1,7,6,6,4,4,5,6,19,0,1,14,12,13,6,6,8,3,3,6,1,5,5,6,5,4,3,5,5,4,5,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,0
224,2,57,1,11,1,4,4,4,4,6,6,3,10,1,1,9,9,14,7,8,6,10,8,8,1,5,1,1,1,5,5,5,1,1,6,1,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
384,1,57,1,8,1,5,4,4,5,5,3,4,35,0,1,5,3,6,4,4,7,4,2,5,1,4,4,4,2,4,3,4,4,3,4,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,0
397,2,57,2,3,1,6,4,4,5,4,6,6,25,1,1,5,5,14,5,8,6,9,9,8,1,2,2,3,2,2,2,3,2,2,3,1,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0,0.35,0.15,-0.05,-0.25,0
475,2,57,2,6,1,5,4,4,2,5,2,4,23,0,1,5,7,15,5,6,4,2,2,4,1,1,3,3,1,2,2,5,4,1,2,1,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
