participant,sex,age,relat,income,poli_soc,poli_econ,trust_gen,DS1,DS2,DS3,DS4,DS5,DS6,DS7,relationship_category,part_leng,part_sex,part_age,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,37_54,37_46,37_39,37_31,37_24,37_17,37_9,37_2,37_-6,37_-13,23_33,23_29,23_24,23_20,23_15,23_10,23_6,23_1,23_-3,23_-8,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,68_99,68_85,68_71,68_58,68_44,68_31,68_17,68_3,68_-10,68_-24,English_exclude
328,1,45,2,7,5,5,5,5,4,4,4,4,3,5,4,5,1,48,1,1,2,2,2,1,1,1,2,2,2,1,2,1,1,2,3,2,1,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
329,2,45,1,14,7,7,11,7,7,7,7,7,7,7,4,4,2,46,1,2,5,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
330,1,55,1,18,2,2,8,7,5,4,2,5,6,5,4,5,1,37,2,4,4,2,2,3,2,1,1,4,3,1,1,2,4,4,2,1,1,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
331,2,37,2,3,3,3,1,4,4,2,4,4,4,4,4,4,2,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
332,2,56,2,4,1,1,10,6,4,4,4,5,4,3,2,12,2,37,5,5,3,5,5,5,2,5,5,5,6,6,7,5,3,3,7,2,7,2,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
333,1,34,1,20,7,7,3,3,6,4,4,5,6,5,1,13,2,33,4,3,2,3,3,1,2,3,3,2,6,7,7,4,7,6,7,7,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
334,1,35,2,5,1,1,8,5,5,4,1,5,7,6,3,9,1,32,5,5,4,5,5,5,5,4,4,5,2,7,7,1,7,7,7,7,3,6,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
335,2,57,2,5,2,3,9,4,4,3,4,4,4,3,3,7,1,75,2,4,4,4,4,2,4,4,2,4,2,3,2,2,2,4,3,4,2,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
336,1,26,1,12,5,5,5,7,5,3,4,5,5,2,2,12,1,27,2,2,2,2,2,2,1,2,4,4,7,1,6,5,7,6,7,5,7,6,1.55,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,1.35,1.15,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0,0.15,-0.05,-0.25,0
337,1,67,1,7,6,6,8,4,7,4,5,5,7,7,3,13,2,62,2,5,1,4,2,4,4,2,2,4,6,1,1,1,1,1,6,3,6,6,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
338,2,25,1,12,4,4,6,4,1,1,2,2,4,2,2,13,2,26,3,2,4,5,4,2,2,4,4,2,7,7,7,7,7,7,7,6,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
339,1,30,2,9,4,4,5,5,4,4,3,4,3,4,3,2,2,25,2,1,2,2,1,2,1,2,2,1,3,2,4,2,4,1,6,3,2,5,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
340,1,36,2,20,7,7,9,6,5,4,4,5,4,6,2,4,2,25,5,4,1,2,5,5,1,2,5,5,2,1,2,1,1,3,5,4,1,3,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
341,2,38,1,16,4,4,7,6,5,5,4,7,6,5,4,13,2,24,2,3,2,1,3,3,3,4,3,3,7,1,3,5,1,3,4,2,3,1,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
342,1,30,2,9,5,5,6,4,6,4,5,5,6,7,2,13,1,31,3,3,2,2,4,2,2,2,3,3,5,6,4,2,4,5,6,5,4,5,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
343,1,42,1,8,1,1,2,4,5,4,4,4,1,6,1,7,2,38,5,2,5,5,5,5,5,5,5,2,7,7,7,7,7,7,7,7,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
344,1,26,1,8,2,2,8,6,6,7,7,7,5,5,2,8,2,25,5,3,2,5,3,4,2,4,4,2,5,5,3,6,2,2,4,4,5,4,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0.95,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,1.55,1.35,1.15,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
345,2,30,1,15,3,5,7,4,2,3,4,4,4,4,2,6,2,30,2,3,2,4,2,2,3,4,3,5,6,4,6,4,3,4,6,6,6,5,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
346,2,38,1,8,5,3,2,7,3,5,6,7,6,7,1,7,1,34,4,1,4,2,2,1,2,1,1,1,6,7,7,7,7,6,7,3,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
347,2,35,1,4,6,6,6,7,7,4,7,7,7,7,1,7,1,35,3,5,3,4,3,5,3,3,3,5,7,7,6,4,6,4,7,5,6,5,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
348,2,33,1,6,5,5,8,7,3,4,5,3,6,4,4,6,1,34,5,2,1,2,1,1,1,2,1,2,1,1,5,3,2,4,4,2,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0.95,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,0
349,1,36,2,3,2,2,9,4,2,2,3,2,4,3,4,5,1,37,2,2,3,2,2,3,4,5,2,2,5,5,4,2,3,4,4,2,2,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
350,1,35,1,20,1,1,9,4,2,2,2,2,2,4,1,13,2,35,4,2,3,3,4,4,2,4,2,3,7,7,7,2,7,7,7,7,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
351,1,29,1,2,1,1,2,5,3,5,3,5,5,6,1,11,1,37,3,3,4,5,3,1,4,5,4,3,4,5,7,4,3,7,3,2,6,3,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
352,1,35,1,6,4,4,4,5,4,4,3,5,2,6,1,13,2,35,5,5,4,5,5,4,4,4,5,5,7,5,7,5,7,6,7,7,7,7,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
353,2,31,1,10,4,4,8,6,4,5,6,6,3,4,2,13,2,24,3,2,3,3,1,4,3,2,2,3,4,6,6,2,4,3,6,2,4,6,0,0,0,0,0,0.55,0,0.15,-0.05,-0.25,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0,0.15,-0.05,-0.45,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
354,2,18,1,14,1,2,5,5,4,3,5,4,5,6,2,7,2,21,1,2,2,2,2,2,2,2,1,2,4,4,5,,2,6,7,3,3,3,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
355,2,38,1,18,3,5,8,7,5,4,2,6,4,4,3,5,2,26,2,2,1,1,3,2,1,1,4,5,2,1,3,2,1,4,3,2,1,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
356,2,36,1,20,4,4,3,7,4,7,3,7,7,7,1,13,1,37,2,2,2,4,4,4,2,5,4,4,7,6,6,1,2,7,6,1,6,4,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
357,1,28,1,9,2,2,3,3,5,3,4,4,6,4,3,9,1,29,2,2,2,2,3,2,2,2,4,1,3,3,5,3,3,3,4,3,3,4,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
358,2,36,1,19,3,4,3,7,7,7,5,7,4,7,4,5,1,45,4,3,3,2,4,4,4,2,2,4,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,1.15,0,0,0.55,0,0.15,-0.05,-0.45,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
359,2,33,1,9,2,1,9,6,6,3,6,4,5,3,4,4,1,27,2,1,3,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
360,1,44,2,1,4,4,4,4,6,3,2,4,5,5,3,5,2,40,3,5,4,5,4,5,3,3,4,5,4,4,4,4,5,5,6,4,6,4,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
361,1,29,1,2,2,2,3,5,2,3,4,2,3,5,1,13,2,31,4,2,2,4,5,4,2,1,2,5,3,6,2,3,5,6,5,5,2,2,1.55,0,1.15,0.95,0,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0,0.75,0.55,0,0.15,0,-0.45,0,1.35,1.15,0,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0.95,0.75,0.55,0,0.15,0,-0.45,0,0,0,0.95,0.75,0.55,0.35,0.15,0,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0,0.15,0,-0.25,0
362,1,39,1,5,4,4,3,7,5,6,5,6,5,6,3,4,1,33,2,4,4,4,4,4,3,4,2,3,3,1,3,1,3,2,4,2,4,3,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
363,1,23,1,13,2,2,5,3,3,3,5,5,5,5,3,4,1,26,4,2,4,3,2,4,3,3,2,2,4,5,6,5,4,4,4,6,5,3,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,1.35,0,0.95,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0,0,0.15,-0.05,-0.25,0
364,2,29,2,3,1,1,11,7,6,7,7,6,7,6,2,3,2,22,5,5,5,5,5,5,2,5,5,5,7,6,5,1,3,3,5,5,5,6,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,0,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.45,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.45,0
365,1,30,2,7,6,5,3,6,3,4,5,5,3,4,3,6,1,29,4,3,2,4,3,3,2,4,3,4,3,2,2,2,2,6,5,1,2,5,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
366,2,27,1,4,4,4,7,4,4,2,3,3,4,4,1,5,1,32,2,4,3,4,3,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
367,1,29,2,8,1,2,3,3,2,1,1,5,4,4,4,5,1,43,2,1,1,1,4,1,1,1,3,1,6,2,2,1,2,3,4,3,3,2,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0
368,1,35,2,11,6,6,9,5,5,5,4,4,3,6,2,13,1,33,2,2,2,4,2,1,1,2,4,1,3,2,3,1,2,5,3,2,1,3,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
369,2,40,2,10,3,3,8,6,5,4,6,5,7,6,2,13,2,40,4,4,2,4,4,4,2,2,2,4,6,5,7,5,5,6,7,3,3,5,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
370,2,52,2,8,7,7,1,7,6,6,6,5,4,7,3,3,1,38,2,1,2,4,3,2,2,2,2,3,1,1,2,1,2,1,4,1,1,5,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
371,1,24,1,10,4,5,7,7,2,4,5,4,7,5,4,4,1,55,2,3,2,2,2,4,3,2,2,4,3,2,3,2,2,4,4,1,2,3,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
372,2,57,1,20,1,1,8,6,3,2,6,2,1,4,1,13,1,48,4,4,2,4,4,4,3,3,4,4,7,7,7,4,7,7,7,6,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
373,2,33,2,4,1,1,6,7,7,7,4,7,7,7,3,8,2,38,2,4,2,4,2,3,2,3,2,4,3,2,4,1,2,1,4,2,3,4,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
374,1,38,1,11,2,4,8,6,3,2,3,4,4,3,1,11,2,38,4,5,5,5,4,5,5,5,5,5,7,5,7,6,7,6,7,7,7,7,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
375,2,32,1,8,6,6,8,7,3,5,6,6,7,7,1,6,1,31,4,4,2,2,3,4,1,1,1,5,7,7,7,4,7,7,7,4,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
376,1,31,1,8,2,2,8,3,2,2,5,4,2,5,2,7,2,35,2,2,2,4,2,3,2,4,3,4,3,6,5,4,4,2,3,5,6,5,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,1.35,0,0.95,0.75,0.55,0.35,0.15,0,-0.25,0,1.35,1.15,0.95,0.75,0,0.35,0.15,-0.05,-0.25,0,1.35,1.15,0.95,0,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
377,1,24,1,6,6,6,8,5,5,5,3,2,3,3,2,7,1,25,4,4,2,2,4,4,2,2,4,4,3,6,6,2,6,5,3,5,5,5,1.55,1.35,0,0,0,0,0.35,0.15,-0.05,-0.45,1.55,0,0,0.95,0.75,0,0,0,-0.05,-0.25,0,1.35,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,1.55,0,0,0,0,0,0.35,0,0,-0.25,0
