participant,sex,age,relat,income,poli_soc,poli_econ,trust_gen,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,AG1,AG2,AG3,AG4,AG5,AG6,AG7,AG8,AG9,AG10,DS1,DS2,DS3,DS4,DS5,DS6,DS7,target_sex,target_category,relate_length,partner_age,partner_proximity,partner_height,partner_weight,partner_attractive,partner_hygiene,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,English_exclude
339,1,25,1,7,2,2,4,2,3,2,3,2,2,4,4,2,4,1,2,4,3,2,4,2,3,4,4,4,5,4,5,5,5,7,1,3,13,45,3,7,4,4,4,2,2,1,1,2,1,2,1,2,2,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
340,1,24,1,8,2,2,8,2,1,4,2,4,3,2,4,3,1,5,4,1,5,5,4,4,5,3,3,3,1,6,4,6,3,5,1,3,8,25,1,9,7,6,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
341,2,27,1,25,5,5,10,4,5,2,5,4,4,2,5,4,5,4,5,5,5,4,4,4,5,5,5,7,7,4,3,4,5,5,1,3,10,34,1,10,7,5,4,2,2,3,1,1,1,3,1,3,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
342,1,49,2,2,4,4,9,3,5,3,4,4,5,5,4,3,5,4,4,3,4,4,4,3,3,4,4,4,3,2,3,4,2,4,1,3,13,54,1,9,10,4,6,1,1,3,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
343,2,34,1,4,2,2,4,2,1,1,5,4,2,5,5,5,1,3,2,2,5,3,2,4,4,2,2,7,4,5,6,5,7,5,1,3,13,60,1,16,12,1,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
344,2,36,1,6,6,6,8,4,2,5,4,4,3,4,4,4,4,4,4,2,3,4,4,4,2,3,4,4,1,1,2,1,2,1,1,3,6,40,1,6,6,7,7,4,4,2,4,3,4,4,2,2,5,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
345,1,34,1,24,1,1,10,4,5,2,4,4,5,4,2,4,5,4,2,2,5,4,4,4,2,4,5,3,1,1,2,2,3,3,1,3,4,34,2,13,10,1,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
346,2,32,1,2,2,6,6,5,2,4,4,5,3,4,4,5,1,3,3,4,4,4,5,3,4,4,2,5,4,3,2,4,5,3,1,3,10,31,1,12,5,8,6,6,4,6,3,6,4,4,3,5,5,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
347,1,52,2,7,4,6,9,4,2,2,4,2,2,2,4,2,4,2,4,4,4,2,4,4,4,2,2,6,6,6,3,6,5,6,1,3,13,51,1,11,8,7,9,1,2,2,1,1,2,1,1,3,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
348,2,66,2,7,5,5,10,2,4,4,2,4,5,2,3,4,4,4,5,5,5,4,4,4,5,4,4,4,4,3,3,4,2,1,1,3,13,59,1,12,12,5,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
349,1,26,2,10,5,6,4,4,2,2,4,4,4,2,3,4,4,4,2,2,2,4,2,4,2,4,2,5,4,3,4,4,4,5,1,3,3,36,6,10,7,3,5,1,1,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
350,2,30,2,7,3,3,7,4,4,4,4,2,4,4,4,3,5,4,5,4,5,4,4,4,1,4,4,3,3,3,2,2,2,5,1,3,6,38,2,17,9,2,6,3,3,3,2,2,4,4,2,4,2,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
351,1,28,1,19,3,3,6,4,3,3,4,3,4,3,4,2,4,3,4,3,5,4,3,4,2,2,2,4,5,3,5,4,5,5,1,3,9,30,2,16,15,2,3,2,2,1,3,2,3,2,3,3,1,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0.75,0,0,0,-0.05,-0.25,0,0,0,0.95,0,0,0,0.15,-0.05,-0.25,0
352,1,32,1,5,2,2,4,4,2,3,2,2,3,4,4,4,4,4,4,2,4,3,2,4,4,4,3,7,5,4,6,5,6,5,1,3,6,60,1,12,12,4,6,3,2,3,1,3,2,3,3,2,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,0,0,0,0,0,0,0.35,0,-0.05,-0.25,0
353,1,64,2,28,2,2,7,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,1,3,2,2,3,1,4,1,3,13,48,1,12,8,6,9,1,2,2,1,1,1,4,2,2,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
354,1,29,1,7,4,5,6,4,1,3,4,4,3,2,3,5,3,5,2,4,2,4,3,4,3,3,3,4,7,7,7,7,7,7,1,3,4,30,8,10,5,9,7,1,1,1,1,1,1,1,1,1,1,0,1.35,1.15,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
355,2,26,1,14,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,2,4,4,5,5,6,5,6,7,7,1,3,7,28,1,16,12,7,9,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0
356,1,55,2,6,6,6,8,2,1,2,5,4,4,5,5,4,1,3,5,5,5,4,3,3,3,2,2,7,6,5,4,6,4,7,1,3,11,52,1,8,13,4,9,1,1,1,3,1,1,3,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
357,1,30,1,14,2,3,3,1,4,2,5,5,1,4,5,1,5,2,4,5,4,2,1,1,1,2,4,5,3,4,5,2,4,6,1,3,6,32,3,17,6,9,8,3,6,3,5,3,3,2,3,2,5,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,0
358,2,32,2,11,2,2,6,5,5,4,4,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,4,3,3,4,4,2,6,1,3,13,60,1,9,8,6,6,1,1,2,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
359,1,31,1,8,3,3,8,4,2,4,2,2,4,2,2,4,3,4,2,2,2,3,3,4,3,4,2,6,5,5,5,5,6,5,2,3,1,59,3,16,19,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.45,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
360,1,35,1,13,2,3,8,2,4,4,4,3,4,4,4,2,5,2,2,2,4,2,2,3,4,2,2,4,5,6,6,6,2,7,2,3,9,40,4,6,8,6,9,2,2,1,1,2,3,2,1,1,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
361,1,23,1,10,3,3,6,3,3,2,3,3,4,3,3,3,3,2,4,3,4,2,3,3,3,3,3,5,3,4,4,4,4,4,2,3,5,19,1,9,8,6,8,1,3,3,3,4,3,4,4,3,4,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0
362,2,39,1,8,7,7,3,5,4,2,4,5,5,1,2,5,5,2,4,4,5,2,4,2,5,2,4,6,7,4,6,6,4,7,2,3,3,34,2,5,6,3,8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
363,1,24,1,6,1,2,11,2,5,2,4,2,1,3,5,4,5,2,4,2,4,2,4,4,2,4,4,4,1,1,6,3,4,2,2,3,4,22,3,6,5,5,7,1,1,1,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
364,2,21,1,12,3,3,3,1,1,1,3,4,1,1,3,3,1,3,4,4,2,3,2,4,3,2,2,7,7,3,7,5,7,5,2,3,4,21,1,6,6,7,6,3,1,4,2,2,4,4,3,2,4,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
365,2,25,1,12,1,1,9,4,5,4,5,4,5,5,5,4,5,4,5,5,5,5,4,2,4,4,4,5,3,3,6,4,3,7,2,3,7,42,1,7,4,6,9,2,2,3,3,3,4,3,1,2,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
366,1,30,1,8,4,4,7,4,4,4,2,2,4,4,4,2,4,4,2,2,4,4,4,4,4,2,4,5,5,5,5,7,5,5,2,3,13,32,4,7,4,11,11,2,2,2,2,2,3,2,3,2,2,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
367,1,41,2,3,6,7,9,4,5,1,4,4,5,3,4,4,5,4,4,4,5,4,4,2,3,4,3,4,3,3,2,2,2,2,2,3,5,70,2,3,6,2,6,1,1,4,3,1,2,4,2,2,3,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
368,1,32,1,28,3,3,1,4,1,2,4,4,2,1,4,4,2,4,4,2,4,5,5,3,2,4,2,2,6,2,2,5,5,6,2,3,10,50,4,6,2,9,11,2,1,4,1,6,3,5,1,1,5,0,0,1.15,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
369,1,21,1,2,2,2,1,2,1,4,4,2,2,3,4,2,2,4,1,2,5,2,4,2,5,4,2,7,4,6,7,6,4,7,2,3,5,20,1,5,2,8,10,7,7,4,5,7,2,4,1,2,7,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
370,1,30,1,16,6,5,8,4,2,2,5,4,2,2,4,4,2,2,4,2,4,2,4,4,4,4,4,4,4,4,3,4,4,4,2,3,7,40,3,8,4,6,9,2,2,3,1,3,2,3,2,2,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
371,2,26,1,3,1,1,5,5,5,5,5,5,5,5,5,4,5,4,2,2,2,4,2,3,2,2,2,4,2,4,7,4,6,7,2,3,2,37,5,8,5,6,9,3,1,5,2,1,6,4,1,3,4,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
372,2,45,1,4,5,3,3,2,2,1,5,2,4,1,3,2,3,1,2,2,4,1,1,3,3,4,2,7,6,5,6,7,5,6,2,3,13,46,1,6,5,7,10,1,1,5,2,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
373,1,24,2,8,3,6,7,4,2,4,4,5,4,4,4,4,4,2,2,1,5,2,3,4,4,4,4,5,3,2,4,5,2,4,2,3,4,24,3,4,10,4,8,4,2,2,3,2,3,4,2,5,6,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
374,2,34,2,9,2,4,5,2,2,2,4,3,2,4,4,2,2,2,4,2,3,1,3,2,2,2,2,3,6,3,2,4,2,5,2,3,4,36,3,5,3,8,8,4,1,4,2,2,2,3,1,1,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
375,2,41,1,13,1,1,3,4,2,4,3,2,1,4,3,1,5,2,2,1,4,2,4,2,4,2,4,7,4,4,3,4,2,7,2,3,11,36,3,4,2,3,8,1,1,1,1,1,3,2,1,3,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
376,1,59,1,18,1,2,7,2,2,3,4,2,2,3,3,2,2,4,5,5,5,3,4,4,4,3,2,5,4,4,3,4,4,5,2,3,7,38,4,7,7,5,6,1,1,2,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
377,2,38,1,24,1,1,9,5,1,1,5,5,5,5,4,5,5,2,5,5,5,2,3,4,5,3,3,6,4,4,3,4,1,5,2,3,13,42,2,7,6,9,11,4,4,6,2,6,2,3,1,7,5,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
378,1,34,1,13,2,5,7,3,5,4,4,4,5,5,3,5,5,4,3,4,4,4,3,4,3,3,4,4,5,3,5,4,6,4,2,3,13,61,2,5,9,3,6,2,1,2,1,1,1,3,2,1,2,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0
379,2,40,1,5,2,5,1,2,5,2,4,2,5,4,5,4,5,2,4,1,2,2,2,4,2,4,2,7,4,4,4,4,7,4,2,3,9,55,1,6,15,6,6,1,1,1,1,1,3,1,1,1,5,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
380,2,33,1,30,1,4,8,4,2,3,2,4,3,2,4,4,2,3,2,4,4,3,2,4,3,4,4,6,6,5,5,6,7,6,2,3,13,31,2,7,11,4,9,4,1,2,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
381,1,41,2,18,4,4,4,4,3,4,3,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,3,6,5,5,6,4,6,5,2,3,4,30,2,7,4,6,5,2,2,4,2,2,2,4,1,2,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,0,0,0,0,0,0,0,0,-0.05,-0.45,0
382,1,47,2,6,6,2,9,4,5,2,4,4,5,4,5,4,5,4,5,5,5,4,5,4,3,4,5,6,5,4,6,3,7,5,2,3,1,20,1,2,5,3,11,1,1,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
383,2,21,1,19,4,4,6,3,4,3,3,3,3,2,3,3,4,3,3,4,4,4,3,3,3,3,4,6,5,4,6,6,4,6,2,3,8,26,1,10,1,6,6,4,4,4,2,2,2,4,4,4,4,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,0
384,1,23,1,6,6,6,8,2,1,1,5,2,2,1,3,2,2,3,5,5,5,3,2,4,5,4,2,6,4,5,7,5,7,4,2,3,2,40,4,7,5,5,8,3,2,3,1,4,2,4,2,3,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
385,2,31,1,2,1,1,1,4,2,4,2,1,4,2,2,4,4,4,3,2,2,4,4,3,4,4,3,7,1,6,1,1,6,7,2,3,8,25,2,13,21,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,-0.05,-0.45,0
386,2,33,1,12,3,5,5,3,5,3,4,4,5,3,4,3,5,2,4,2,3,3,2,3,4,3,4,7,6,5,5,6,4,7,2,3,3,37,1,4,9,5,5,4,2,1,3,1,5,2,1,5,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
387,2,55,1,19,7,7,3,5,5,3,3,5,5,5,4,5,5,3,4,3,5,3,3,2,3,3,3,7,5,5,6,6,4,7,2,3,13,55,1,1,2,4,8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
388,1,31,1,10,7,7,3,1,1,1,4,1,2,1,2,5,1,2,2,2,2,1,2,1,1,2,2,4,6,5,4,5,5,7,2,3,13,38,2,12,8,8,9,3,1,4,2,1,2,4,2,1,5,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
389,1,63,1,18,2,2,2,4,5,2,4,4,1,3,4,2,5,1,3,3,1,1,2,4,1,2,2,6,2,4,5,5,2,5,2,3,13,62,1,7,8,6,10,1,2,2,1,1,2,3,1,2,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
390,2,37,1,5,1,2,7,2,5,2,4,2,4,2,4,2,4,2,2,2,2,2,4,4,2,4,4,5,6,4,4,4,5,7,2,3,2,35,2,6,6,6,6,1,1,1,1,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0
391,1,60,2,4,1,1,8,3,3,3,3,3,4,3,3,4,3,2,3,3,3,2,3,3,3,4,3,6,7,6,5,7,4,4,2,3,8,60,2,11,10,7,8,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
392,2,34,1,12,2,2,6,5,4,2,4,4,4,2,3,4,4,4,4,4,4,4,4,3,4,4,4,6,7,6,4,5,6,7,2,3,6,35,2,2,8,5,6,1,3,1,2,1,3,3,2,1,3,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.45,0
393,1,25,2,12,2,2,8,5,5,4,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,7,7,1,4,5,3,7,2,3,13,25,2,7,6,3,6,1,1,7,1,1,1,7,1,1,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0.55,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
394,2,63,1,7,3,5,10,5,5,4,5,5,5,3,5,5,5,4,5,1,4,4,5,4,4,4,3,4,4,3,1,3,1,5,2,3,13,59,1,8,8,6,8,3,4,7,7,1,2,4,1,3,5,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
395,2,29,1,4,1,1,11,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,4,1,1,7,5,1,3,2,3,3,40,6,9,3,8,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
396,2,41,1,8,1,3,11,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,7,6,7,6,7,4,7,2,3,5,36,1,16,5,8,8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
397,1,62,1,23,6,7,10,4,5,4,5,5,5,5,5,5,5,5,4,4,5,4,4,2,5,4,5,6,1,3,4,5,2,2,2,3,13,50,1,12,7,4,7,5,5,5,1,5,2,7,3,3,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
398,2,40,1,8,4,4,8,4,3,4,4,5,2,3,3,4,3,4,4,2,5,2,4,4,4,2,4,4,1,1,4,1,1,1,2,3,4,42,5,5,5,5,9,2,3,4,1,2,1,7,1,1,5,0,0,0,0,0,0,0,0,-0.05,-0.45,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,0
399,2,46,1,13,1,1,6,3,5,4,5,5,5,4,5,1,5,3,2,4,2,3,3,2,2,1,2,4,3,4,5,5,6,2,2,3,6,35,1,6,5,6,9,2,3,6,2,3,2,6,2,2,6,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
400,2,34,1,12,6,3,10,5,5,1,5,5,5,5,5,5,5,3,2,2,3,4,4,2,2,3,3,7,3,4,3,4,4,5,2,3,6,45,1,13,8,6,7,1,1,1,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
401,1,28,2,7,2,3,4,2,2,4,4,2,4,5,4,3,3,1,2,1,4,1,4,4,4,4,4,4,4,4,3,6,3,5,2,3,5,26,1,7,8,5,8,4,1,3,1,3,4,3,1,2,6,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
402,2,60,1,5,1,2,8,4,4,4,3,4,4,5,4,4,4,2,4,3,3,3,3,4,4,2,2,7,6,6,4,5,6,6,2,3,13,50,6,5,5,7,8,2,1,4,4,2,1,4,2,2,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
403,2,50,1,8,2,3,7,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,7,3,4,3,3,4,4,2,3,10,55,2,6,8,7,8,1,1,3,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
404,2,38,2,3,6,3,2,5,5,4,4,5,5,5,5,5,5,3,4,4,4,4,4,4,5,2,4,7,6,5,4,5,5,7,2,3,4,45,1,9,10,6,8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
405,2,28,1,1,1,1,4,2,3,3,4,3,3,1,3,2,3,2,2,2,3,1,2,3,2,3,3,5,6,4,5,4,4,5,2,3,4,33,4,5,4,10,11,1,1,,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
406,1,31,1,9,2,2,9,1,5,2,2,5,5,4,3,5,5,5,5,5,5,3,5,2,5,4,5,7,6,7,7,5,2,7,2,3,5,32,4,10,5,8,9,1,2,2,1,2,2,4,2,1,4,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
407,1,33,2,10,4,3,6,4,4,4,5,5,4,4,5,1,4,4,4,2,4,4,4,3,4,4,4,6,6,3,5,6,5,6,2,3,3,31,2,8,5,4,6,3,2,3,1,1,3,2,1,3,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
408,1,30,1,2,2,2,3,5,5,4,4,5,5,4,4,5,5,4,4,2,5,2,2,4,5,4,4,6,3,4,3,5,4,2,2,3,13,50,2,8,10,5,11,2,2,3,2,1,4,3,2,1,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
409,1,52,1,24,6,2,3,4,2,2,4,4,2,2,2,5,4,2,2,2,4,3,2,4,4,2,4,2,7,1,2,3,4,1,2,3,13,46,1,9,6,5,10,5,1,3,1,2,3,5,3,1,6,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
410,2,39,1,7,1,2,8,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,5,3,2,4,2,7,2,3,5,45,5,2,2,7,7,5,4,7,5,5,3,6,5,4,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
