participant,sex,age,relat,income,poli_soc,poli_econ,trust_gen,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,AG1,AG2,AG3,AG4,AG5,AG6,AG7,AG8,AG9,AG10,DS1,DS2,DS3,DS4,DS5,DS6,DS7,target_sex,target_category,relate_length,partner_age,partner_proximity,partner_height,partner_weight,partner_attractive,partner_hygiene,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,English_exclude
232,3,33,2,1,3,3,1,1,1,1,3,4,1,1,5,1,1,1,4,5,5,1,3,4,5,1,4,1,1,2,1,1,1,1,2,2,9,27,6,5,7,6,10,1,7,6,4,4,7,7,6,1,4,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
233,1,24,1,5,2,2,4,2,2,4,4,3,2,3,4,2,2,2,2,2,2,2,2,3,2,2,3,4,5,6,3,4,5,5,2,2,8,22,4,6,3,9,6,6,7,7,5,6,7,7,7,6,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0
234,2,26,1,2,2,4,3,1,1,1,5,2,1,1,4,2,5,1,2,2,4,1,1,5,5,2,2,4,7,5,7,7,6,7,2,2,8,27,5,5,5,5,10,7,7,7,3,6,5,7,2,7,7,0,0,1.15,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
235,1,27,2,2,2,2,1,4,2,4,1,2,3,2,2,5,2,2,2,3,4,1,4,4,4,4,4,7,3,4,4,4,4,3,2,2,13,19,2,6,4,6,3,2,2,4,3,2,1,4,2,2,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0
236,1,53,1,1,1,1,5,5,1,3,3,5,3,2,2,5,1,2,2,2,4,2,4,2,2,3,2,3,1,2,2,2,2,1,2,2,4,30,1,2,3,9,9,7,7,7,4,7,6,7,4,7,7,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
237,1,49,2,7,4,4,9,4,5,4,5,4,5,4,5,1,5,4,4,4,5,4,4,4,4,4,4,4,5,5,3,5,5,6,2,2,5,23,1,6,2,9,9,1,1,1,2,1,5,5,2,2,2,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
238,1,29,1,13,4,3,5,2,3,2,4,3,5,3,4,4,4,2,2,2,3,2,2,2,4,2,4,4,3,3,5,4,4,4,2,2,5,37,3,11,7,3,6,3,2,3,2,2,3,4,3,3,4,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
239,1,32,1,16,6,6,9,4,5,2,5,4,5,5,5,4,5,5,5,5,5,4,5,5,4,5,4,3,4,4,5,3,2,6,2,2,5,58,4,7,9,3,7,3,4,5,2,4,5,6,3,2,5,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
240,1,37,2,16,4,4,8,2,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,3,3,5,2,2,9,60,3,4,10,5,9,4,1,3,1,2,5,2,1,2,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
241,2,35,1,13,1,2,7,4,3,5,5,4,3,5,5,4,4,2,2,4,4,3,4,2,2,2,5,4,2,5,2,6,2,5,2,2,8,35,1,11,19,2,8,3,5,6,2,2,3,7,6,2,6,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
242,2,23,1,8,3,3,2,4,2,2,4,5,2,5,4,5,2,1,2,1,5,2,2,4,4,2,5,3,3,3,4,5,3,6,2,2,3,42,6,6,10,3,10,6,5,6,1,3,3,6,3,6,6,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0
